@relation Will_Bynum
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,13,6,2285,1610612764,1610612765,0,5,2,1,4,4,19
1,11,5,1949,1610612763,1610612765,0,6,0,0,3,5,18
2,5,0,1024,1610612738,1610612765,1,4,1,0,1,2,4
2,6,0,980,1610612754,1610612765,1,3,1,0,0,3,5
0,7,4,755,1610612760,1610612765,0,0,0,0,0,1,8
0,7,2,982,1610612757,1610612765,1,6,2,0,3,2,8
0,8,10,1258,1610612744,1610612765,0,4,3,0,1,3,14
0,2,0,456,1610612758,1610612765,1,1,0,0,1,0,0
2,4,4,758,1610612749,1610612765,0,2,1,0,2,3,5
0,7,0,878,1610612741,1610612765,0,0,1,1,1,2,2
0,6,2,642,1610612754,1610612765,0,1,0,0,2,0,7
0,1,0,316,1610612738,1610612765,0,0,1,0,2,1,2
1,6,0,799,1610612766,1610612765,0,2,0,0,1,1,5
1,12,1,1400,1610612745,1610612765,0,3,0,0,1,2,11
3,13,1,1195,1610612753,1610612765,0,2,1,0,3,3,18
2,10,3,1628,1610612764,1610612765,1,5,0,0,2,3,10
0,0,2,536,1610612764,1610612765,0,1,0,0,0,3,2
4,11,0,1278,1610612763,1610612765,1,4,0,0,2,0,7
0,10,2,1387,1610612752,1610612765,1,3,1,0,2,4,10
0,7,0,824,1610612761,1610612765,0,4,1,0,1,4,4
3,11,4,2036,1610612755,1610612765,1,3,1,2,5,4,16
0,11,4,1386,1610612756,1610612765,1,1,2,0,1,3,16
0,6,0,1206,1610612762,1610612765,0,4,0,0,3,4,4
0,7,1,1189,1610612764,1610612765,0,6,0,0,1,3,7
1,6,1,1022,1610612746,1610612765,0,1,0,1,2,3,11
0,2,0,661,1610612749,1610612765,0,1,2,0,2,1,2
1,2,2,671,1610612740,1610612765,0,3,0,0,0,1,5
3,7,0,922,1610612753,1610612765,1,3,0,1,3,2,7
1,5,4,1379,1610612755,1610612765,1,6,0,0,1,1,6
2,2,2,885,1610612748,1610612765,0,2,0,0,2,1,5
0,2,0,188,1610612753,1610612765,0,0,2,0,1,0,0
0,8,0,935,1610612759,1610612765,0,2,2,0,0,2,8
2,10,2,1208,1610612739,1610612765,0,4,1,0,2,4,12
2,10,2,1205,1610612766,1610612765,0,6,1,0,0,2,9
1,9,5,1255,1610612766,1610612765,0,8,0,0,2,2,14
1,7,1,1374,1610612737,1610612765,0,7,0,1,2,2,9
0,12,4,1893,1610612742,1610612765,2,8,0,0,2,5,17
1,11,0,980,1610612744,1610612765,2,4,0,0,2,3,8
0,18,0,1837,1610612759,1610612765,0,9,0,0,4,3,18
1,10,0,1224,1610612745,1610612765,3,5,2,0,3,1,12
2,10,6,1104,1610612752,1610612765,1,3,3,0,3,4,16
1,11,2,975,1610612741,1610612765,0,2,0,0,1,1,4
2,14,3,1281,1610612750,1610612765,3,3,1,0,2,1,17
0,9,12,1310,1610612738,1610612765,0,2,1,0,3,1,18
2,14,0,1294,1610612758,1610612765,0,7,0,0,3,1,8
4,9,3,1305,1610612761,1610612765,0,7,0,0,3,2,12
0,4,1,944,1610612754,1610612765,0,1,0,0,2,1,4
1,8,4,1349,1610612743,1610612765,1,10,0,0,1,0,12
2,11,0,1895,1610612756,1610612765,0,9,1,0,5,5,8
2,7,1,1431,1610612746,1610612765,0,10,2,0,2,4,6
1,3,0,997,1610612762,1610612765,0,9,0,0,0,2,2
0,1,2,406,1610612739,1610612765,1,2,0,0,1,0,2
3,5,6,900,1610612748,1610612765,0,2,1,0,1,0,12
2,11,1,1103,1610612755,1610612765,0,2,0,0,5,1,5
1,6,6,1397,1610612749,1610612765,0,8,1,0,0,3,12
0,5,0,773,1610612754,1610612765,0,0,1,0,1,2,2
0,1,0,175,1610612766,1610612764,0,1,0,0,0,1,0
0,0,0,148,1610612755,1610612764,0,0,0,0,2,0,0
1,1,0,186,1610612752,1610612764,0,0,0,0,0,1,0
2,11,0,1137,1610612755,1610612764,0,7,1,1,1,3,10
1,3,2,1083,1610612751,1610612764,0,2,0,0,4,3,1
0,0,0,17,1610612754,1610612764,0,0,0,0,0,0,0
5,15,2,1256,1610612739,1610612764,2,8,0,0,1,1,11
0,1,0,252,1610612761,1610612764,0,2,1,0,0,0,0
2,6,5,778,1610612737,1610612764,0,1,0,0,1,3,9
0,7,0,859,1610612737,1610612764,2,0,1,1,4,3,10
