@relation Ognjen_Kuzmic
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,2,2,585,1610612747,1610612744,0,0,0,1,3,2,3
0,0,0,49,1610612746,1610612744,0,0,0,0,1,1,0
0,0,0,187,1610612758,1610612744,0,0,0,1,0,0,0
0,1,0,536,1610612755,1610612744,1,0,0,0,2,2,0
0,0,0,87,1610612750,1610612744,0,0,0,0,0,1,0
0,0,1,291,1610612763,1610612744,0,0,0,0,1,2,0
0,2,0,315,1610612765,1610612744,0,0,0,1,0,1,2
0,0,0,179,1610612762,1610612744,0,0,0,1,1,2,0
0,2,0,166,1610612762,1610612744,1,0,0,0,0,0,0
0,0,0,65,1610612763,1610612744,0,0,0,0,0,0,0
0,3,0,264,1610612753,1610612744,0,0,0,0,0,0,2
0,0,0,184,1610612764,1610612744,0,0,0,0,1,0,0
0,0,2,138,1610612749,1610612744,3,1,0,0,0,0,1
0,0,0,48,1610612741,1610612744,0,0,0,0,0,0,0
0,0,0,0,1610612756,1610612744,0,0,0,0,0,0,0
0,1,2,379,1610612755,1610612744,1,0,1,0,1,1,1
0,0,0,0,1610612748,1610612744,0,0,0,0,0,0,0
0,0,0,207,1610612753,1610612744,2,1,0,0,0,0,0
0,0,0,3,1610612749,1610612744,0,0,0,0,0,0,0
0,0,0,21,1610612750,1610612744,0,0,0,0,0,0,0
0,2,4,1843,1610612743,1610612744,2,0,2,0,0,5,6
0,0,0,387,1610612758,1610612744,0,0,0,1,0,4,0
0,0,0,112,1610612756,1610612744,0,0,0,0,0,0,0
0,0,0,357,1610612766,1610612744,0,0,0,0,0,1,0
0,2,0,467,1610612747,1610612744,0,0,0,0,2,1,2
0,1,0,267,1610612762,1610612744,1,0,0,0,0,0,0
0,0,0,145,1610612753,1610612744,0,0,0,0,1,0,0
0,1,0,200,1610612750,1610612744,1,0,0,0,0,0,0
0,0,0,79,1610612742,1610612744,0,0,0,0,1,0,0
0,1,0,156,1610612758,1610612744,0,0,0,0,0,1,2
0,1,0,376,1610612747,1610612744,0,1,1,0,0,0,2
0,0,0,175,1610612746,1610612744,1,1,0,0,0,0,0
0,3,0,720,1610612750,1610612744,1,2,0,0,1,4,4
0,2,2,519,1610612755,1610612744,1,1,1,0,0,2,6
0,0,0,19,1610612761,1610612744,0,0,0,0,0,0,0
0,1,2,219,1610612760,1610612744,1,1,0,0,0,0,4
0,0,0,106,1610612756,1610612744,1,0,0,0,0,0,0
