@relation Ryan_Hollins
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,2,2,238,1610612747,1610612746,0,0,0,1,0,1,0
0,2,0,262,1610612744,1610612746,0,0,1,1,0,1,4
0,1,0,481,1610612758,1610612746,1,0,0,1,3,5,0
0,1,0,285,1610612745,1610612746,0,0,0,0,0,0,2
0,4,5,722,1610612750,1610612746,0,1,0,0,1,0,7
0,2,0,631,1610612760,1610612746,1,0,0,0,0,1,4
0,2,0,312,1610612751,1610612746,1,0,0,0,0,0,4
0,0,2,340,1610612763,1610612746,0,0,0,0,0,2,1
0,4,3,1234,1610612750,1610612746,0,0,0,2,2,4,5
0,2,2,624,1610612760,1610612746,1,0,0,1,1,6,5
0,2,0,519,1610612758,1610612746,0,0,0,1,2,1,4
0,3,0,1276,1610612741,1610612746,2,0,0,0,0,3,2
0,1,2,476,1610612752,1610612746,0,0,0,0,2,0,4
0,1,2,611,1610612758,1610612746,0,0,0,0,0,2,3
0,1,2,517,1610612754,1610612746,2,0,0,1,1,2,3
0,1,0,817,1610612737,1610612746,0,0,0,0,1,2,2
