@relation Aaron_Gordon
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
2,8,0,1707,1610612740,1610612753,2,0,1,1,3,3,11
1,4,1,1050,1610612764,1610612753,0,1,0,0,1,1,4
0,1,0,396,1610612761,1610612753,1,1,0,0,1,3,0
2,6,0,823,1610612741,1610612753,1,0,0,1,0,2,6
0,2,0,449,1610612755,1610612753,1,0,0,0,2,0,2
2,9,3,1306,1610612750,1610612753,1,1,0,2,0,0,17
0,3,1,986,1610612751,1610612753,0,0,1,1,1,2,2
0,2,2,587,1610612761,1610612753,1,1,0,0,1,1,1
1,1,4,850,1610612752,1610612753,0,0,0,0,1,2,7
0,3,2,889,1610612749,1610612753,0,3,1,1,0,0,8
0,4,2,857,1610612764,1610612753,1,0,0,0,1,1,6
1,4,5,708,1610612760,1610612753,1,1,0,0,1,3,8
0,2,0,718,1610612765,1610612753,1,0,1,1,0,0,4
0,2,3,780,1610612752,1610612753,0,1,1,0,0,2,5
2,5,2,1271,1610612754,1610612753,0,0,0,1,0,0,9
1,7,2,1237,1610612763,1610612753,1,1,0,0,0,3,7
0,1,4,1187,1610612749,1610612753,0,0,0,0,1,1,4
3,8,4,1779,1610612742,1610612753,2,0,0,0,1,5,11
1,7,2,1539,1610612760,1610612753,2,2,0,0,2,1,6
1,6,1,1380,1610612747,1610612753,1,2,0,0,1,1,7
2,2,0,700,1610612741,1610612753,0,1,0,1,3,1,3
0,4,1,1042,1610612764,1610612753,0,0,1,1,2,4,5
0,2,0,439,1610612752,1610612753,1,0,0,0,1,2,2
0,2,0,414,1610612740,1610612753,0,0,0,1,1,1,2
1,5,1,617,1610612755,1610612753,2,1,1,0,0,1,3
0,3,2,535,1610612748,1610612753,0,1,1,0,1,2,6
0,1,0,682,1610612756,1610612753,1,1,1,0,0,0,0
1,2,0,823,1610612758,1610612753,0,0,0,0,2,3,2
2,3,0,897,1610612738,1610612753,0,0,0,1,0,1,2
0,4,0,713,1610612754,1610612753,2,0,0,0,0,0,2
2,5,2,1079,1610612749,1610612753,0,1,0,1,1,1,7
3,8,2,1185,1610612738,1610612753,2,0,1,1,2,1,11
2,3,0,778,1610612739,1610612753,0,1,1,0,2,2,2
0,0,0,523,1610612745,1610612753,0,0,0,1,0,1,0
0,3,2,1108,1610612757,1610612753,2,0,1,0,0,2,4
2,8,2,1073,1610612743,1610612753,1,0,0,1,0,3,8
1,1,0,577,1610612737,1610612753,0,1,2,0,0,1,0
0,4,0,847,1610612765,1610612753,0,2,0,0,1,4,4
1,1,0,684,1610612759,1610612753,0,1,0,0,1,2,0
3,10,0,1819,1610612750,1610612753,5,2,2,0,1,4,7
1,6,0,1756,1610612749,1610612753,4,1,0,2,0,0,10
1,3,4,1328,1610612741,1610612753,0,1,1,0,0,4,7
2,8,3,1444,1610612761,1610612753,3,3,0,0,1,2,13
1,5,0,1400,1610612752,1610612753,0,0,2,1,1,3,0
2,14,2,1916,1610612748,1610612753,3,2,2,2,1,2,5
2,11,0,2053,1610612751,1610612753,3,0,0,0,0,2,7
2,8,6,1021,1610612764,1610612753,4,1,0,1,0,0,12
1,4,8,1071,1610612760,1610612753,1,0,1,1,1,5,15
1,7,0,1475,1610612741,1610612753,2,1,2,2,3,1,4
0,2,0,268,1610612740,1610612753,0,0,0,0,1,2,2
0,11,7,1922,1610612745,1610612753,4,1,0,1,1,1,19
3,8,0,695,1610612761,1610612753,2,0,0,1,1,2,5
3,7,2,1342,1610612755,1610612753,3,2,1,0,0,1,10
2,3,2,950,1610612747,1610612753,3,1,0,0,1,2,4
1,9,5,1640,1610612762,1610612753,3,3,1,4,0,4,10
2,10,6,1902,1610612764,1610612753,1,2,3,0,0,4,12
0,3,2,826,1610612750,1610612753,2,2,0,2,1,1,5
2,7,0,1234,1610612758,1610612753,2,1,1,1,1,4,6
2,10,0,1490,1610612739,1610612753,3,1,0,3,2,3,11
0,4,4,1025,1610612752,1610612753,3,1,0,2,0,3,2
1,2,0,1104,1610612749,1610612753,0,1,1,0,2,2,2
3,7,0,1307,1610612738,1610612753,1,2,0,1,0,2,12
