@relation Johnny_O'Bryant
@attribute box_fg3a Continuous
@attribute box_fga Continuous
@attribute box_fta Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
0,1,0,276,1610612757,1610612749,0,0,0,0,0,1,2
0,4,2,1033,1610612758,1610612749,0,1,0,0,2,4,6
0,3,0,376,1610612746,1610612749,0,0,0,0,0,2,4
0,3,0,358,1610612766,1610612749,0,1,0,0,0,1,4
0,9,4,1242,1610612737,1610612749,1,0,0,0,0,1,12
0,4,0,504,1610612737,1610612749,1,0,0,0,0,2,0
0,1,0,593,1610612766,1610612749,0,1,0,0,0,0,2
0,5,2,808,1610612739,1610612749,3,1,1,0,1,1,2
0,4,0,809,1610612754,1610612749,0,2,0,0,1,0,0
0,8,6,1327,1610612752,1610612749,2,1,0,1,0,1,10
0,4,2,832,1610612756,1610612749,0,0,0,1,1,1,3
0,6,0,1390,1610612755,1610612749,2,0,0,0,5,4,6
0,5,1,743,1610612750,1610612749,0,0,0,0,1,0,4
0,2,0,474,1610612741,1610612749,0,0,1,2,0,0,2
0,2,0,608,1610612752,1610612749,1,1,0,0,1,1,0
0,5,0,429,1610612761,1610612749,2,0,0,0,0,1,6
0,8,0,1326,1610612762,1610612749,3,1,0,0,0,3,8
0,3,0,538,1610612765,1610612749,0,0,0,0,2,3,0
0,6,0,863,1610612753,1610612749,0,1,1,0,0,3,4
0,3,0,273,1610612757,1610612749,2,0,0,0,0,1,2
0,4,0,596,1610612761,1610612749,2,0,0,0,1,1,0
0,2,0,868,1610612747,1610612749,0,0,2,0,2,4,0
0,3,0,679,1610612745,1610612749,1,2,0,0,0,1,2
0,5,3,814,1610612758,1610612749,0,2,0,0,1,1,4
0,0,0,187,1610612741,1610612749,0,0,0,0,0,0,0
0,2,0,179,1610612762,1610612749,1,0,0,0,2,0,0
0,2,0,808,1610612763,1610612749,1,0,0,0,1,2,2
0,1,2,318,1610612743,1610612749,0,0,0,0,0,1,3
0,0,0,163,1610612739,1610612749,0,0,0,0,0,0,0
0,4,1,720,1610612737,1610612749,0,1,0,0,0,1,7
0,1,2,144,1610612752,1610612749,0,0,0,0,0,0,0
0,3,2,216,1610612751,1610612749,0,0,0,0,1,0,3
0,7,0,1316,1610612738,1610612749,4,2,0,0,2,3,2
0,8,0,720,1610612741,1610612749,1,0,0,0,0,1,6
0,1,0,992,1610612752,1610612749,1,0,0,0,0,3,0
0,5,6,1663,1610612764,1610612749,1,2,1,0,0,4,9
0,5,0,1621,1610612761,1610612749,0,1,0,0,0,2,2
0,4,2,1022,1610612751,1610612749,1,1,0,1,0,1,8
0,3,1,701,1610612755,1610612749,3,1,0,1,0,1,2
0,4,5,977,1610612752,1610612749,2,0,0,0,0,3,11
0,7,0,966,1610612751,1610612749,3,1,1,1,1,1,6
0,4,2,783,1610612738,1610612749,2,0,0,0,1,1,3
0,7,3,2042,1610612743,1610612749,4,3,0,1,0,6,11
0,2,0,281,1610612739,1610612749,0,0,0,0,0,1,0
0,1,0,1486,1610612764,1610612749,0,1,0,0,2,2,0
0,0,0,341,1610612739,1610612749,0,1,0,0,0,1,0
0,6,0,987,1610612754,1610612749,1,0,1,0,1,1,4
0,3,0,985,1610612765,1610612749,1,1,0,0,0,1,0
0,1,0,535,1610612753,1610612749,0,1,0,0,2,0,2
