@relation 1610612737
@attribute game_id NUMERIC
@attribute season_year NUMERIC
@attribute finals_match {'T','F'}
@attribute fg3_attempted_total NUMERIC
@attribute fg3_made_total NUMERIC
@attribute fg3_percent_average NUMERIC
@attribute fg_attempted_total NUMERIC
@attribute fg_made_total NUMERIC
@attribute fg_percent_average NUMERIC
@attribute ft_attempted_total NUMERIC
@attribute ft_made_total NUMERIC
@attribute ft_percent_average NUMERIC
@attribute total_minutes NUMERIC
@attribute opponent_id {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute total_players_accounted NUMERIC
@attribute total_players_accounted NUMERIC
@data
0012, 13, F, 24.0, 8.0, 0.3333333333333333, 76.0, 37.0, 0.4868421052631579, 35.0, 27.0, 0.7714285714285715, 14400.0, '1610612742', 109.0, 11.0, 1309.090909090909
0023, 13, F, 23.0, 10.0, 0.43478260869565216, 77.0, 36.0, 0.4675324675324675, 31.0, 20.0, 0.6451612903225806, 14400.0, '1610612761', 102.0, 10.0, 1440.0
0046, 13, F, 22.0, 9.0, 0.4090909090909091, 90.0, 40.0, 0.4444444444444444, 26.0, 14.0, 0.5384615384615384, 14400.0, '1610612747', 103.0, 11.0, 1309.090909090909
0059, 13, F, 22.0, 8.0, 0.36363636363636365, 81.0, 39.0, 0.48148148148148145, 26.0, 19.0, 0.7307692307692307, 14400.0, '1610612758', 105.0, 9.0, 1600.0
0071, 13, F, 26.0, 8.0, 0.3076923076923077, 94.0, 43.0, 0.4574468085106383, 19.0, 13.0, 0.6842105263157895, 14400.0, '1610612743', 107.0, 10.0, 1440.0
0086, 13, F, 19.0, 6.0, 0.3157894736842105, 90.0, 43.0, 0.4777777777777778, 17.0, 12.0, 0.7058823529411765, 14401.0, '1610612753', 104.0, 10.0, 1440.1
0098, 13, F, 27.0, 10.0, 0.37037037037037035, 76.0, 35.0, 0.4605263157894737, 28.0, 23.0, 0.8214285714285714, 14400.0, '1610612766', 103.0, 11.0, 1309.090909090909
0116, 13, F, 24.0, 5.0, 0.20833333333333334, 77.0, 35.0, 0.45454545454545453, 21.0, 16.0, 0.7619047619047619, 14399.0, '1610612752', 91.0, 9.0, 1599.888888888889
0127, 13, F, 23.0, 10.0, 0.43478260869565216, 81.0, 39.0, 0.48148148148148145, 31.0, 25.0, 0.8064516129032258, 14400.0, '1610612755', 113.0, 11.0, 1309.090909090909
0139, 13, F, 22.0, 9.0, 0.4090909090909091, 78.0, 44.0, 0.5641025641025641, 17.0, 13.0, 0.7647058823529411, 14400.0, '1610612752', 110.0, 10.0, 1440.0
0158, 13, F, 24.0, 11.0, 0.4583333333333333, 74.0, 33.0, 0.44594594594594594, 15.0, 11.0, 0.7333333333333333, 14400.0, '1610612748', 88.0, 12.0, 1200.0
0166, 13, F, 15.0, 4.0, 0.26666666666666666, 71.0, 36.0, 0.5070422535211268, 24.0, 17.0, 0.7083333333333334, 14400.0, '1610612765', 93.0, 10.0, 1440.0
0180, 13, F, 23.0, 8.0, 0.34782608695652173, 85.0, 37.0, 0.43529411764705883, 21.0, 14.0, 0.6666666666666666, 14400.0, '1610612765', 96.0, 10.0, 1440.0
0190, 13, F, 20.0, 5.0, 0.25, 93.0, 36.0, 0.3870967741935484, 12.0, 10.0, 0.8333333333333334, 14400.0, '1610612738', 87.0, 10.0, 1440.0
0213, 13, F, 22.0, 9.0, 0.4090909090909091, 73.0, 30.0, 0.410958904109589, 27.0, 23.0, 0.8518518518518519, 14400.0, '1610612753', 92.0, 13.0, 1107.6923076923076
0221, 13, F, 22.0, 8.0, 0.36363636363636365, 75.0, 32.0, 0.4266666666666667, 15.0, 12.0, 0.8, 14400.0, '1610612745', 84.0, 10.0, 1440.0
0231, 13, F, 15.0, 3.0, 0.2, 73.0, 31.0, 0.4246575342465753, 30.0, 23.0, 0.7666666666666667, 14400.0, '1610612742', 88.0, 11.0, 1309.090909090909
0241, 13, F, 17.0, 7.0, 0.4117647058823529, 81.0, 36.0, 0.4444444444444444, 26.0, 22.0, 0.8461538461538461, 14400.0, '1610612764', 101.0, 10.0, 1440.0
0258, 13, F, 31.0, 11.0, 0.3548387096774194, 96.0, 42.0, 0.4375, 5.0, 5.0, 1.0, 14401.0, '1610612759', 100.0, 11.0, 1309.1818181818182
0270, 13, F, 23.0, 12.0, 0.5217391304347826, 82.0, 42.0, 0.5121951219512195, 16.0, 11.0, 0.6875, 14401.0, '1610612746', 107.0, 10.0, 1440.1
0282, 13, F, 23.0, 8.0, 0.34782608695652173, 91.0, 47.0, 0.5164835164835165, 11.0, 6.0, 0.5454545454545454, 14400.0, '1610612739', 108.0, 12.0, 1200.0
0313, 13, F, 26.0, 9.0, 0.34615384615384615, 87.0, 31.0, 0.3563218390804598, 27.0, 21.0, 0.7777777777777778, 14400.0, '1610612760', 92.0, 10.0, 1440.0
0332, 13, F, 21.0, 7.0, 0.3333333333333333, 89.0, 38.0, 0.42696629213483145, 24.0, 18.0, 0.75, 15900.0, '1610612764', 101.0, 10.0, 1590.0
0345, 13, F, 32.0, 15.0, 0.46875, 66.0, 40.0, 0.6060606060606061, 11.0, 11.0, 1.0, 14402.0, '1610612752', 106.0, 12.0, 1200.1666666666667
0357, 13, F, 27.0, 11.0, 0.4074074074074074, 92.0, 45.0, 0.4891304347826087, 15.0, 13.0, 0.8666666666666667, 14400.0, '1610612747', 114.0, 9.0, 1600.0
0372, 13, F, 25.0, 15.0, 0.6, 81.0, 47.0, 0.5802469135802469, 18.0, 15.0, 0.8333333333333334, 14402.0, '1610612758', 124.0, 11.0, 1309.2727272727273
0384, 13, F, 26.0, 10.0, 0.38461538461538464, 86.0, 45.0, 0.5232558139534884, 24.0, 18.0, 0.75, 14400.0, '1610612762', 118.0, 12.0, 1200.0
0411, 13, F, 34.0, 17.0, 0.5, 91.0, 44.0, 0.4835164835164835, 19.0, 14.0, 0.7368421052631579, 15900.0, '1610612748', 119.0, 10.0, 1590.0
0423, 13, F, 34.0, 11.0, 0.3235294117647059, 103.0, 51.0, 0.49514563106796117, 19.0, 14.0, 0.7368421052631579, 17400.0, '1610612739', 127.0, 12.0, 1450.0
0440, 13, F, 39.0, 16.0, 0.41025641025641024, 91.0, 37.0, 0.4065934065934066, 34.0, 28.0, 0.8235294117647058, 15900.0, '1610612766', 118.0, 10.0, 1590.0
0449, 13, F, 39.0, 15.0, 0.38461538461538464, 81.0, 36.0, 0.4444444444444444, 21.0, 15.0, 0.7142857142857143, 14400.0, '1610612753', 102.0, 10.0, 1440.0
0460, 13, F, 29.0, 5.0, 0.1724137931034483, 91.0, 33.0, 0.3626373626373626, 25.0, 21.0, 0.84, 14400.0, '1610612738', 92.0, 11.0, 1309.090909090909
0483, 13, F, 31.0, 10.0, 0.3225806451612903, 80.0, 37.0, 0.4625, 19.0, 16.0, 0.8421052631578947, 14400.0, '1610612744', 100.0, 9.0, 1600.0
0492, 13, F, 28.0, 8.0, 0.2857142857142857, 86.0, 32.0, 0.37209302325581395, 14.0, 12.0, 0.8571428571428571, 14400.0, '1610612741', 84.0, 9.0, 1600.0
0506, 13, F, 24.0, 8.0, 0.3333333333333333, 70.0, 27.0, 0.38571428571428573, 26.0, 24.0, 0.9230769230769231, 14401.0, '1610612751', 86.0, 10.0, 1440.1
0522, 13, F, 23.0, 10.0, 0.43478260869565216, 75.0, 34.0, 0.4533333333333333, 22.0, 19.0, 0.8636363636363636, 14400.0, '1610612754', 97.0, 9.0, 1600.0
0533, 13, F, 32.0, 9.0, 0.28125, 86.0, 32.0, 0.37209302325581395, 11.0, 10.0, 0.9090909090909091, 14399.0, '1610612745', 83.0, 9.0, 1599.888888888889
0553, 13, F, 27.0, 9.0, 0.3333333333333333, 80.0, 38.0, 0.475, 24.0, 16.0, 0.6666666666666666, 14400.0, '1610612763', 101.0, 9.0, 1600.0
0579, 13, F, 25.0, 8.0, 0.32, 81.0, 40.0, 0.49382716049382713, 22.0, 22.0, 1.0, 14400.0, '1610612751', 110.0, 11.0, 1309.090909090909
0612, 13, F, 31.0, 12.0, 0.3870967741935484, 81.0, 42.0, 0.5185185185185185, 27.0, 25.0, 0.9259259259259259, 14401.0, '1610612748', 121.0, 9.0, 1600.111111111111
0623, 13, F, 25.0, 9.0, 0.36, 83.0, 41.0, 0.4939759036144578, 24.0, 21.0, 0.875, 14400.0, '1610612753', 112.0, 9.0, 1600.0
0635, 13, F, 13.0, 2.0, 0.15384615384615385, 76.0, 29.0, 0.3815789473684211, 27.0, 19.0, 0.7037037037037037, 14400.0, '1610612759', 79.0, 10.0, 1440.0
0650, 13, F, 26.0, 13.0, 0.5, 76.0, 40.0, 0.5263157894736842, 25.0, 19.0, 0.76, 14400.0, '1610612749', 112.0, 11.0, 1309.090909090909
0666, 13, F, 25.0, 12.0, 0.48, 88.0, 43.0, 0.48863636363636365, 12.0, 11.0, 0.9166666666666666, 14402.0, '1610612760', 109.0, 9.0, 1600.2222222222222
0677, 13, F, 35.0, 9.0, 0.2571428571428571, 89.0, 34.0, 0.38202247191011235, 24.0, 18.0, 0.75, 14401.0, '1610612765', 95.0, 10.0, 1440.1
0690, 13, F, 16.0, 8.0, 0.5, 89.0, 45.0, 0.5056179775280899, 34.0, 27.0, 0.7941176470588235, 14400.0, '1610612755', 125.0, 12.0, 1200.0
0699, 13, F, 23.0, 9.0, 0.391304347826087, 92.0, 43.0, 0.4673913043478261, 30.0, 25.0, 0.8333333333333334, 14400.0, '1610612750', 120.0, 10.0, 1440.0
0721, 13, F, 25.0, 7.0, 0.28, 76.0, 33.0, 0.4342105263157895, 15.0, 12.0, 0.8, 14400.0, '1610612754', 85.0, 11.0, 1309.090909090909
0731, 13, F, 30.0, 14.0, 0.4666666666666667, 84.0, 38.0, 0.4523809523809524, 14.0, 10.0, 0.7142857142857143, 14401.0, '1610612740', 100.0, 9.0, 1600.111111111111
0750, 13, F, 20.0, 8.0, 0.4, 70.0, 30.0, 0.42857142857142855, 15.0, 8.0, 0.5333333333333333, 14400.0, '1610612763', 76.0, 9.0, 1600.0
0772, 13, F, 23.0, 10.0, 0.43478260869565216, 80.0, 35.0, 0.4375, 9.0, 5.0, 0.5555555555555556, 14403.0, '1610612741', 85.0, 10.0, 1440.3
0779, 13, F, 20.0, 4.0, 0.2, 78.0, 30.0, 0.38461538461538464, 23.0, 19.0, 0.8260869565217391, 14400.0, '1610612761', 83.0, 10.0, 1440.0
0792, 13, F, 26.0, 12.0, 0.46153846153846156, 77.0, 37.0, 0.4805194805194805, 19.0, 12.0, 0.631578947368421, 14400.0, '1610612754', 98.0, 10.0, 1440.0
0804, 13, F, 16.0, 6.0, 0.375, 73.0, 33.0, 0.4520547945205479, 30.0, 25.0, 0.8333333333333334, 14400.0, '1610612764', 97.0, 9.0, 1600.0
0819, 13, F, 31.0, 13.0, 0.41935483870967744, 88.0, 40.0, 0.45454545454545453, 20.0, 14.0, 0.7, 14400.0, '1610612765', 107.0, 8.0, 1800.0
0827, 13, F, 31.0, 16.0, 0.5161290322580645, 74.0, 32.0, 0.43243243243243246, 33.0, 27.0, 0.8181818181818182, 14400.0, '1610612752', 107.0, 9.0, 1600.0
0849, 13, F, 33.0, 14.0, 0.42424242424242425, 83.0, 38.0, 0.4578313253012048, 14.0, 13.0, 0.9285714285714286, 14252.0, '1610612741', 103.0, 8.0, 1781.5
0854, 13, F, 19.0, 9.0, 0.47368421052631576, 76.0, 38.0, 0.5, 24.0, 19.0, 0.7916666666666666, 14370.0, '1610612738', 104.0, 9.0, 1596.6666666666667
0889, 13, F, 31.0, 14.0, 0.45161290322580644, 84.0, 44.0, 0.5238095238095238, 26.0, 18.0, 0.6923076923076923, 14400.0, '1610612756', 120.0, 9.0, 1600.0
0913, 13, F, 27.0, 4.0, 0.14814814814814814, 88.0, 29.0, 0.32954545454545453, 19.0, 16.0, 0.8421052631578947, 14401.0, '1610612757', 78.0, 11.0, 1309.1818181818182
0927, 13, F, 34.0, 8.0, 0.23529411764705882, 86.0, 39.0, 0.45348837209302323, 13.0, 11.0, 0.8461538461538461, 14400.0, '1610612744', 97.0, 11.0, 1309.090909090909
0933, 13, F, 28.0, 12.0, 0.42857142857142855, 76.0, 38.0, 0.5, 26.0, 20.0, 0.7692307692307693, 14400.0, '1610612746', 108.0, 10.0, 1440.0
0948, 13, F, 29.0, 13.0, 0.4482758620689655, 78.0, 38.0, 0.48717948717948717, 27.0, 23.0, 0.8518518518518519, 14400.0, '1610612762', 112.0, 11.0, 1309.090909090909
0969, 13, F, 29.0, 13.0, 0.4482758620689655, 74.0, 36.0, 0.4864864864864865, 20.0, 17.0, 0.85, 14401.0, '1610612749', 102.0, 11.0, 1309.1818181818182
0983, 13, F, 32.0, 14.0, 0.4375, 81.0, 33.0, 0.4074074074074074, 29.0, 17.0, 0.5862068965517241, 14400.0, '1610612743', 97.0, 10.0, 1440.0
0996, 13, F, 34.0, 13.0, 0.38235294117647056, 85.0, 39.0, 0.4588235294117647, 7.0, 6.0, 0.8571428571428571, 14400.0, '1610612766', 97.0, 11.0, 1309.090909090909
1004, 13, F, 34.0, 11.0, 0.3235294117647059, 94.0, 40.0, 0.425531914893617, 31.0, 27.0, 0.8709677419354839, 15901.0, '1610612761', 118.0, 11.0, 1445.5454545454545
1025, 13, F, 28.0, 8.0, 0.2857142857142857, 85.0, 38.0, 0.4470588235294118, 27.0, 21.0, 0.7777777777777778, 14400.0, '1610612740', 105.0, 11.0, 1309.090909090909
1040, 13, F, 20.0, 5.0, 0.25, 76.0, 33.0, 0.4342105263157895, 20.0, 15.0, 0.75, 14400.0, '1610612761', 86.0, 9.0, 1600.0
1048, 13, F, 23.0, 8.0, 0.34782608695652173, 72.0, 30.0, 0.4166666666666667, 33.0, 27.0, 0.8181818181818182, 14400.0, '1610612756', 95.0, 10.0, 1440.0
1065, 13, F, 28.0, 7.0, 0.25, 82.0, 31.0, 0.3780487804878049, 16.0, 14.0, 0.875, 14399.0, '1610612750', 83.0, 11.0, 1309.0
1071, 13, F, 22.0, 4.0, 0.18181818181818182, 84.0, 34.0, 0.40476190476190477, 17.0, 13.0, 0.7647058823529411, 14400.0, '1610612757', 85.0, 9.0, 1600.0
1089, 13, F, 31.0, 9.0, 0.2903225806451613, 80.0, 34.0, 0.425, 28.0, 20.0, 0.7142857142857143, 14400.0, '1610612764', 97.0, 9.0, 1600.0
1103, 13, F, 31.0, 7.0, 0.22580645161290322, 84.0, 36.0, 0.42857142857142855, 30.0, 24.0, 0.8, 14400.0, '1610612755', 103.0, 11.0, 1309.090909090909
1120, 13, F, 24.0, 8.0, 0.3333333333333333, 72.0, 32.0, 0.4444444444444444, 26.0, 20.0, 0.7692307692307693, 14400.0, '1610612741', 92.0, 11.0, 1309.090909090909
1132, 13, F, 29.0, 13.0, 0.4482758620689655, 82.0, 48.0, 0.5853658536585366, 10.0, 8.0, 0.8, 14400.0, '1610612739', 117.0, 10.0, 1440.0
1152, 13, F, 27.0, 12.0, 0.4444444444444444, 73.0, 41.0, 0.5616438356164384, 17.0, 13.0, 0.7647058823529411, 14400.0, '1610612754', 107.0, 9.0, 1600.0
1166, 13, F, 23.0, 9.0, 0.391304347826087, 76.0, 40.0, 0.5263157894736842, 22.0, 16.0, 0.7272727272727273, 14400.0, '1610612738', 105.0, 10.0, 1440.0
1179, 13, F, 19.0, 1.0, 0.05263157894736842, 79.0, 36.0, 0.45569620253164556, 21.0, 20.0, 0.9523809523809523, 14400.0, '1610612751', 93.0, 11.0, 1309.090909090909
1192, 13, F, 22.0, 10.0, 0.45454545454545453, 78.0, 36.0, 0.46153846153846156, 19.0, 16.0, 0.8421052631578947, 14400.0, '1610612748', 98.0, 10.0, 1440.0
1207, 13, F, 30.0, 8.0, 0.26666666666666666, 79.0, 34.0, 0.43037974683544306, 23.0, 17.0, 0.7391304347826086, 14400.0, '1610612766', 93.0, 9.0, 1600.0
1217, 13, F, 24.0, 8.0, 0.3333333333333333, 76.0, 41.0, 0.5394736842105263, 26.0, 21.0, 0.8076923076923077, 14400.0, '1610612749', 111.0, 11.0, 1309.090909090909
0008, 14, F, 22.0, 13.0, 0.5909090909090909, 80.0, 40.0, 0.5, 17.0, 9.0, 0.5294117647058824, 14400.0, '1610612761', 102.0, 11.0, 1309.090909090909
0032, 14, F, 20.0, 7.0, 0.35, 69.0, 35.0, 0.5072463768115942, 33.0, 25.0, 0.7575757575757576, 14400.0, '1610612754', 102.0, 10.0, 1440.0
0064, 14, F, 25.0, 8.0, 0.32, 92.0, 38.0, 0.41304347826086957, 11.0, 8.0, 0.7272727272727273, 14400.0, '1610612759', 92.0, 11.0, 1309.090909090909
0071, 14, F, 33.0, 13.0, 0.3939393939393939, 93.0, 43.0, 0.46236559139784944, 26.0, 20.0, 0.7692307692307693, 17401.0, '1610612766', 119.0, 11.0, 1581.909090909091
0084, 14, F, 22.0, 9.0, 0.4090909090909091, 81.0, 33.0, 0.4074074074074074, 36.0, 28.0, 0.7777777777777778, 14400.0, '1610612752', 103.0, 10.0, 1440.0
