@relation Nik_Stauskas
@attribute box_fg3a Continuous
@attribute box_fg3m Continuous
@attribute box_fga Continuous
@attribute box_fgm Continuous
@attribute box_fta Continuous
@attribute box_ftm Continuous
@attribute box_minutes Continuous
@attribute 'opponent_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute 'team_id' {'1610612737','1610612738','1610612739','1610612740','1610612741','1610612742','1610612743','1610612744','1610612745','1610612746','1610612747','1610612748','1610612749','1610612750','1610612751','1610612752','1610612753','1610612754','1610612755','1610612756','1610612757','1610612758','1610612759','1610612760','1610612761','1610612762','1610612763','1610612764','1610612765','1610612766'}
@attribute box_oreb Continuous
@attribute box_ast Continuous
@attribute box_stl Continuous
@attribute box_blk Continuous
@attribute box_to Continuous
@attribute box_pf Continuous
@attribute box_pts Continuous
@data
7,2,10,3,1,1,1559,1610612744,1610612758,0,0,0,0,1,3,9
1,0,4,0,0,0,977,1610612757,1610612758,1,0,1,0,0,1,0
3,1,3,1,0,0,1240,1610612746,1610612758,0,1,0,3,1,1,3
0,0,0,0,0,0,93,1610612743,1610612758,0,0,0,0,0,3,0
3,1,5,2,0,0,986,1610612743,1610612758,0,2,0,0,0,3,5
4,1,7,4,0,0,1719,1610612756,1610612758,0,2,0,0,0,3,9
2,0,2,0,0,0,932,1610612760,1610612758,0,1,0,0,1,2,0
1,0,1,0,0,0,530,1610612742,1610612758,0,1,0,0,0,0,0
1,1,2,1,0,0,644,1610612763,1610612758,0,1,0,0,0,0,3
2,0,2,0,0,0,506,1610612759,1610612758,0,0,0,0,0,0,0
1,1,4,2,0,0,1140,1610612740,1610612758,0,1,0,0,0,1,5
0,0,0,0,0,0,25,1610612741,1610612758,0,0,0,0,0,0,0
3,0,3,0,0,0,423,1610612750,1610612758,0,1,0,0,0,0,0
3,1,6,4,0,0,1430,1610612740,1610612758,1,1,1,2,0,2,9
3,1,4,1,4,4,852,1610612745,1610612758,0,1,0,1,0,3,7
0,0,0,0,0,0,410,1610612759,1610612758,0,1,0,0,0,1,0
3,0,4,0,0,0,409,1610612763,1610612758,0,0,0,0,0,0,0
1,0,2,1,6,4,1032,1610612761,1610612758,0,0,0,0,0,1,6
2,0,3,0,0,0,384,1610612754,1610612758,0,0,0,0,0,1,0
1,0,2,0,0,0,403,1610612753,1610612758,0,0,0,0,0,1,0
4,2,12,6,1,1,1800,1610612762,1610612758,2,1,1,0,2,0,15
2,0,7,2,0,0,973,1610612747,1610612758,0,0,0,1,1,1,4
2,1,2,1,0,0,857,1610612745,1610612758,0,2,0,0,3,3,3
